id,name,value
1,name_1,291052
2,name_2,879971
3,name_3,256879
4,name_4,150104
5,name_5,220835
6,name_6,649111
7,name_7,360607
8,name_8,609703
9,name_9,462912
10,name_10,925199
11,name_11,28238
12,name_12,129475
13,name_13,277112
14,name_14,862581
15,name_15,159316
16,name_16,313377
17,name_17,749346
18,name_18,563211
19,name_19,107029
20,name_20,700782
21,name_21,487085
22,name_22,371402
23,name_23,413907
24,name_24,694609
25,name_25,564269
26,name_26,21110
27,name_27,356997
28,name_28,946556
29,name_29,516592
30,name_30,155327
31,name_31,950610
32,name_32,643123
33,name_33,689449
34,name_34,476757
35,name_35,132970
36,name_36,24165
37,name_37,38367
38,name_38,192564
39,name_39,417046
40,name_40,269937
41,name_41,409012
42,name_42,623594
43,name_43,642102
44,name_44,503418
45,name_45,155517
46,name_46,181525
47,name_47,582502
48,name_48,531829
49,name_49,994956
50,name_50,755251
51,name_51,905283
52,name_52,49440
53,name_53,865200
54,name_54,479301
55,name_55,634277
56,name_56,430448
57,name_57,309867
58,name_58,65127
59,name_59,318920
60,name_60,982953
61,name_61,710208
62,name_62,665720
63,name_63,846396
64,name_64,639475
65,name_65,154808
66,name_66,659516
67,name_67,540636
68,name_68,321562
69,name_69,916509
70,name_70,208973
71,name_71,943917
72,name_72,461067
73,name_73,899590
74,name_74,816457
75,name_75,514651
76,name_76,522163
77,name_77,817713
78,name_78,63454
79,name_79,609857
80,name_80,107115
81,name_81,985749
82,name_82,754021
83,name_83,454987
84,name_84,717958
85,name_85,638676
86,name_86,395710
87,name_87,942093
88,name_88,910012
89,name_89,35514
90,name_90,325866
91,name_91,351436
92,name_92,772629
93,name_93,507193
94,name_94,556347
95,name_95,439394
96,name_96,271151
97,name_97,718691
98,name_98,907423
99,name_99,177252
100,name_100,106982
101,name_101,102411
102,name_102,98899
103,name_103,92739
104,name_104,440699
105,name_105,578184
106,name_106,145705
107,name_107,929183
108,name_108,478276
109,name_109,720625
110,name_110,459125
111,name_111,339274
112,name_112,3219
113,name_113,174094
114,name_114,373838
115,name_115,722107
116,name_116,691689
117,name_117,994414
118,name_118,425357
119,name_119,709118
120,name_120,871468
121,name_121,353441
122,name_122,901217
123,name_123,539685
124,name_124,855104
125,name_125,418249
126,name_126,665795
127,name_127,42819
128,name_128,464105
129,name_129,884571
130,name_130,479507
131,name_131,295456
132,name_132,518879
133,name_133,756605
134,name_134,303275
135,name_135,908132
136,name_136,452642
137,name_137,873072
138,name_138,870217
139,name_139,284407
140,name_140,891561
141,name_141,277562
142,name_142,667882
143,name_143,875178
